Tenure,Contacts,Gender_Male,Gender_Female,Gender_Nonbinary,Email,MonthlyCharge,Bandwidth_GB_Year,Age
4.85576672,2,1,0,0,12,127.442069,1060.026737,56
54.60031,1,1,0,0,14,182.4538,4762.326261,58
67.19559,0,0,1,0,10,127.525,5929.012302,28
69.45823,0,0,1,0,11,119.9897,5938.504348,76
2.210399,1,1,0,0,10,217.4725,731.2638925,61
52.00223,0,1,0,0,12,172.4555,4695.750395,79
4.005780287,0,0,1,0,12,157.469817,554.7295152,31
53.37805,1,0,1,0,12,125.0073,4535.472251,66
62.30892,0,1,0,0,11,149.9483,5409.075897,69
65.18605,1,1,0,0,11,164.9715,6109.837555,70
17.30249,0,1,0,0,12,139.965,2224.045421,38
56.7924,2,0,1,0,17,117.4858,5184.100141,57
67.96008,0,1,0,0,12,230.1051,6140.731914,66
11.26136,0,0,1,0,16,152.4798,1263.915496,72
12.48694,2,1,0,0,9,162.4608,1795.593522,77
2.293413,1,0,0,1,10,124.9781,484.8655509,58
57.90418,0,0,1,0,13,124.9607,5447.621158,48
67.25716,1,0,0,1,9,179.9476,5820.087969,52
7.608938235,2,0,1,0,13,167.484705,1422.716519,79
10.12304,1,0,1,0,14,147.4713,1292.562403,25
10.5309984,0,0,1,0,11,159.983006,990.747598,75
7.342789,1,1,0,0,9,262.6106,1221.605576,64
71.14876,0,1,0,0,15,225.1786,6597.462528,66
53.13455,0,1,0,0,11,159.9512,4567.371412,68
60.88815,1,0,1,0,8,210.1051,6096.201472,24
8.882682,2,1,0,0,15,172.4705,1531.239282,89
17.88183906,3,0,1,0,10,114.965789,1737.043258,52
52.69603,1,1,0,0,14,142.4827,5169.811527,47
57.69823,1,1,0,0,14,192.4404,5155.008959,43
71.91339,3,0,1,0,14,184.9496,6957.206381,18
64.67729,0,0,1,0,7,202.65,6473.586614,52
41.3275,2,0,1,0,14,287.6427,4147.013836,34
70.68617,0,1,0,0,13,147.4783,6024.728963,57
1.717359,0,1,0,0,10,152.4579,944.8425929,77
63.9229,1,0,1,0,13,172.4742,5416.863521,70
63.24097,0,1,0,0,12,159.9349,5583.671778,57
1.563383,0,0,1,0,10,124.9607,673.250968,68
63.63151,1,0,1,0,11,159.9642,5626.901599,33
8.915226,1,1,0,0,15,162.4833,1586.632329,23
19.39483,0,0,1,0,13,172.4624,1955.226259,51
25.32558,1,1,0,0,19,277.6513,2914.993204,74
63.63312,1,1,0,0,11,192.4567,5433.979472,88
11.32725,2,1,0,0,11,139.9792,1537.25042,54
52.95931,3,0,1,0,4,162.4827,4666.095949,56
4.984488,0,1,0,0,16,162.4608,1295.610833,42
23.18508,2,1,0,0,17,172.4705,2792.394717,43
71.8434,1,1,0,0,11,162.4937,6337.761157,69
59.3332,1,0,1,0,12,149.9928,5504.260765,28
48.17117,1,1,0,0,11,142.4827,4760.987806,68
63.17834,1,1,0,0,10,137.4686,5328.678277,79
5.68349814,2,1,0,0,10,232.62403,1386.523823,71
69.47678,0,0,1,0,8,159.9642,5964.869164,76
48.28818,0,0,1,0,12,252.6378,4492.45352,82
47.10952,2,0,1,0,19,125.0073,4012.731737,50
43.69814,1,0,1,0,9,235.1555,4732.920025,43
49.04173,1,1,0,0,12,235.1417,5205.119963,41
63.00932,1,1,0,0,12,142.4713,5910.092809,67
48.87162,0,1,0,0,10,152.4884,4648.662738,54
67.18365,2,0,1,0,13,159.9476,6234.113968,23
65.74105,0,0,1,0,6,127.4958,5480.31735,69
7.978289,2,0,1,0,11,92.5018,832.638565,67
5.261212465,0,0,0,1,14,212.655686,1101.650764,34
