,Age,Income,Email,Contacts,Tenure,MonthlyCharge,Bandwidth_GB_Year,Gender_Female,Gender_Male,Gender_Nonbinary,Area_Rural,Area_Suburban,Area_Urban,Marital_Divorced,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Churn
0,0.7042253521126761,0.22812204394968388,0.38888888888888895,0.0,0.08162441612754492,0.43998464679767657,0.10695110858032117,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
1,0.1267605633802817,0.17267720292379074,0.5,0.0,0.002203152318805522,0.7738723357742342,0.09216511350895276,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
2,0.45070422535211274,0.07488007213662297,0.33333333333333337,0.0,0.20780405987081682,0.38047449728926985,0.27117970669046576,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
3,0.4225352112676056,0.15020291255172874,0.6666666666666666,0.6666666666666666,0.22658012928146212,0.19020688679923636,0.2868679834244005,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
4,0.9154929577464789,0.32120526118032355,0.7222222222222222,0.6666666666666666,0.009446783628353222,0.3329000714092144,0.016561310558048714,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
5,0.9154929577464789,0.18040244208213319,0.6666666666666666,1.0,0.08451854911825202,0.4997052667213302,0.12620182002821403,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
6,0.8591549295774649,0.08990257885031126,0.38888888888888895,0.0,0.17234765150632433,0.5715994141997968,0.2501238747083258,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
7,0.16901408450704225,0.2135489357187946,0.7222222222222222,0.0,0.04597240609318569,0.16638969263711678,0.11767101542385794,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
8,0.43661971830985913,0.47127686334413116,0.9444444444444445,0.6666666666666666,0.10169755816178323,0.17836831726992763,0.16525628773421222,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
9,0.9577464788732394,0.40333255091531994,0.8333333333333334,0.3333333333333333,0.03411070711239301,0.39253602643607766,0.05044025798926385,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
